Cod.;Giocatore;Squadra;Ruolo;Quotazione
320;KRISTENSEN Thomas;UDINESE;D;16
321;KUMBULLA Marash;ROMA;D;12
322;KYRIAKOPOULOS Georgios;MONZA;D;13
323;LAZARO Valentino;TORINO;D;28
324;LAZZARI Manuel;LAZIO;D;23
474;LEKOVIC Stefan;MONZA;D;1
431;LEONI Giovanni;PARMA;D;8
462;LOVIK Mathias;PARMA;D;5
411;LUCCHESI Lorenzo;VENEZIA;D;14
325;LUCUMI Jhon;BOLOGNA;D;26
326;LUPERTO Sebastiano;CAGLIARI;D;22
327;LYKOGIANNIS Charalampos;BOLOGNA;D;24
328;MAGNANI Giangiacomo;VERONA;D;8
329;MANCINI Gianluca;ROMA;D;31
330;MARCANDALLI Alessandro;VENEZIA;D;1
331;MARI Pablo;FIORENTINA;D;17
332;MARIANUCCI Luca;EMPOLI;D;1
337;MARIN Rafa;NAPOLI;D;14
333;MARIO RUI Silva Duarte;NAPOLI;D;18
436;MARIPAN Guillermo;TORINO;D;23
334;MARTIN Aaron;GENOA;D;21
335;MARTINEZ QUARTA Lucas;FIORENTINA;D;30
336;MARUSIC Adam;LAZIO;D;31
338;MASINA Adam;TORINO;D;18
339;MATTURRO Alan;GENOA;D;6
340;MAZZOCCHI Pasquale;NAPOLI;D;21
341;MILENKOVIC Nikola;FIORENTINA;D;23
342;MINA Yerry;CAGLIARI;D;16
343;MIRANDA Juan;BOLOGNA;D;24
446;MODESTO Rui;UDINESE;D;12
455;MONTERO Alfonso;JUVENTUS;D;1
344;MORENO Alberto;COMO;D;13
437;MORENO Matias;FIORENTINA;D;5
251;MUNOZ Cristo;LAZIO;D;1
345;NATAN -;NAPOLI;D;11
346;NDICKA Evan;ROMA;D;28
481;NELSSON Victor;ROMA;D;11
419;NORTON-CUFFY Brooke;GENOA;D;12
347;NUNO TAVARES -;LAZIO;D;32
348;OBERT Adam;CAGLIARI;D;14
349;ODENTHAL Cas;COMO;D;12
408;OKOU Yllan;VERONA;D;10
350;OLIVERA Mathías;NAPOLI;D;30
351;OSORIO Yordan;PARMA;D;10
352;OSTIGARD Leo;NAPOLI;D;12
465;OTOA Sebastian;GENOA;D;5
472;OYEGOKE Daniel;VERONA;D;3
426;PALACIOS Tomas;MONZA;D;4
423;PALESTRA Marco;ATALANTA;D;1
452;PALMA Matteo;UDINESE;D;1
418;PALOMINO José Luis;CAGLIARI;D;21
353;PARISI Fabiano;FIORENTINA;D;17
354;PATRIC -;LAZIO;D;16
355;PAVARD Benjamin;INTER;D;33
409;PAVLOVIC Strahinja;MILAN;D;32
424;PEDERSEN Marcus;TORINO;D;18
356;PELLEGRINI Luca;LAZIO;D;24
357;PELLEGRINO Marco;MILAN;D;6
415;PELMARD Andy;LECCE;D;7
358;PEREIRA Pedro;MONZA;D;8
360;PEREZ Alex;INTER;D;1
359;PEREZ Nehuen;UDINESE;D;22
361;PEZZELLA Giuseppe;EMPOLI;D;14
362;PIEROZZI Niccolo;FIORENTINA;D;6
422;PITTINO Tommaso;GENOA;D;1
363;PONGRACIC Marin;FIORENTINA;D;19
364;POSCH Stefan;ATALANTA;D;26
457;POSTIGLIONE Nicolo;MONZA;D;1
480;PROVSTGAARD Oliver;LAZIO;D;5
417;PUBILL Marc;ATALANTA;D;13
365;RANIERI Luca;FIORENTINA;D;23
467;RENSCH Devyne;ROMA;D;19
425;ROBERTO Sergi;COMO;D;21
366;ROMAGNOLI Alessio;LAZIO;D;30
367;ROUHI Jonas;JUVENTUS;D;3
368;RRAHMANI Amir;NAPOLI;D;45
369;RUGANI Daniele;JUVENTUS;D;14
370;RUGGERI Matteo;ATALANTA;D;33
371;SABELLI Stefano;GENOA;D;21
413;SAGRADO Richie;VENEZIA;D;5
372;SALA Marco;LECCE;D;9
478;SALAH-EDDINE Anass;ROMA;D;8
444;SAMBIA Junior;EMPOLI;D;8
403;SANGARE Buba;ROMA;D;1
414;SAVONA Nicolo;JUVENTUS;D;23
373;SAZONOV Saba;EMPOLI;D;6
374;SCALVINI Giorgio;ATALANTA;D;23
435;SCHINGTIENNE Joel;VENEZIA;D;5
375;SCHUURS Perr;TORINO;D;20
475;SCOTT Elijah;LECCE;D;1
477;SLOTSAGER Tobias;VERONA;D;4
376;SMAJLOVIC Zinedin;LECCE;D;2
377;SMALLING Chris;ROMA;D;24
479;SMOLCIC Ivan;COMO;D;5
461;SOLET Oumar;UDINESE;D;16
378;SOPPY Brandon;ATALANTA;D;10
420;SOSA Borna;TORINO;D;24
379;SPINAZZOLA Leonardo;NAPOLI;D;35
380;STOJANOVIC Petar;EMPOLI;D;13
381;SVERKO Marin;VENEZIA;D;11
382;TERRACCIANO Filippo;MILAN;D;12
383;THIAW Malick;MILAN;D;23
384;TIKVIC Antonio;UDINESE;D;1
385;TOLOI Rafael;ATALANTA;D;16
386;TOMORI Fikayo;MILAN;D;21
450;TOSTO Lorenzo;EMPOLI;D;1
442;TOURE Isaak;UDINESE;D;12
387;VALENTI Lautaro;PARMA;D;6
460;VALENTINI Nicolas;VERONA;D;5
388;VALERI Emanuele;PARMA;D;18
482;VALLE Alex;COMO;D;5
445;VAN DER BREMPT Ignace;COMO;D;20
389;VANHEUSDEN Zinho;INTER;D;5
406;VARANE Raphael;COMO;D;27
390;VASQUEZ Johan;GENOA;D;26
470;VEIGA Danilo;LECCE;D;6
469;VEIGA Renato;JUVENTUS;D;15
391;VENUTI Lorenzo;LECCE;D;11
402;VITI Mattia;EMPOLI;D;17
392;VOGLIACCO Alessandro;PARMA;D;12
393;VOJVODA Mergim;COMO;D;17
466;WALKER Kyle;MILAN;D;25
394;WALUKIEWICZ Sebastian;TORINO;D;16
395;WIETESKA Mateusz;CAGLIARI;D;8
396;ZAMPANO Francesco;VENEZIA;D;16
397;ZANOLI Alessandro;GENOA;D;20
398;ZAPPA Gabriele;CAGLIARI;D;22
399;ZAPPACOSTA Davide;ATALANTA;D;36
400;ZEMURA Jordan;UDINESE;D;16
401;ZORTEA Nadir;CAGLIARI;D;30
500;ABILDGAARD Oliver;COMO;C;17
501;ADLI Yacine;FIORENTINA;C;34
502;ADOPO Ndary;CAGLIARI;C;16
503;ADZIC Vasilije;JUVENTUS;C;3
504;AEBISCHER Michel;BOLOGNA;C;16
505;AGOUME Lucien;INTER;C;6
506;AKPA AKPRO Jean-Daniel;MONZA;C;10
736;ALLI Dele;COMO;C;24
507;AMATUCCI Lorenzo;FIORENTINA;C;1
508;AMRABAT Sofyan;FIORENTINA;C;26
509;ANAS Mohamed;PARMA;C;4
510;ANDERSON Andre;LAZIO;C;2
511;ANGUISSA André Zambo;NAPOLI;C;57
713;ANJORIN Tino;EMPOLI;C;18
512;ARTHUR -;JUVENTUS;C;18
513;ASLLANI Kristjan;INTER;C;23
716;ATTA Arthur;UDINESE;C;10
728;BACCI Jacopo;EMPOLI;C;1
514;BADELJ Milan;GENOA;C;25
515;BALDANZI Tommaso;ROMA;C;26
516;BALLET Samuel;COMO;C;7
517;BARAK Antonin;FIORENTINA;C;24
518;BARELLA Nicolò;INTER;C;63
519;BASELLI Daniele;COMO;C;11
520;BASIC Toma;LAZIO;C;14
521;BEGIC Tjas;PARMA;C;5
719;BELARDINELLI Luca;EMPOLI;C;1
522;BELLEMO Alessandro;COMO;C;15
523;BENNACER Ismael;MILAN;C;24
725;BERENBRUCH Thomas;INTER;C;1
524;BERISHA Medon;LECCE;C;13
525;BERNABE Adrian;PARMA;C;32
744;BERNEDE Antoine;VERONA;C;9
696;BIANCO Alessandro;MONZA;C;4
734;BILLING Philip;NAPOLI;C;11
526;BLIN Alexis;LECCE;C;18
527;BOHINEN Emil;GENOA;C;10
528;BONDO Warren;MILAN;C;15
529;BOVE Edoardo;FIORENTINA;C;31
530;BRAUNODER Matthias;COMO;C;6
700;BRESCIANINI Marco;ATALANTA;C;39
531;BUSIO Gianluca;VENEZIA;C;19
695;BYAR Naim;BOLOGNA;C;1
532;CAJUSTE Jens;NAPOLI;C;11
533;CALHANOGLU Hakan;INTER;C;58
534;CAMARA Drissa;PARMA;C;14
535;CANCELLIERI Matteo;PARMA;C;19
733;CAQUERET Maxence;COMO;C;17
741;CASADEI Cesare;TORINO;C;18
703;CASSA Federico;ATALANTA;C;1
536;CASTROVILLI Gaetano;MONZA;C;21
537;CATALDI Danilo;FIORENTINA;C;30
538;CHAJIA Moutir;COMO;C;9
539;CHUKWUEZE Samuel;MILAN;C;35
705;CIAMMAGLICHELLA Aaron;TORINO;C;1
540;CIURRIA Patrick;MONZA;C;20
541;COLPANI Andrea;FIORENTINA;C;33
723;COMI Pietro;ATALANTA;C;1
732;CONDE Cheick;VENEZIA;C;11
542;CORFITZEN Jeppe;LECCE;C;1
699;COULIBALY Lassana;LECCE;C;18
543;CRISTANTE Bryan;ROMA;C;21
544;CRNIGOJ Domen;VENEZIA;C;11
743;CUENCA Hugo;GENOA;C;1
545;CYPRIEN Wylan;PARMA;C;14
546;D'ALESSANDRO Marco;MONZA;C;13
547;DA CUNHA Lucas;COMO;C;24
548;DANI SILVA -;VERONA;C;11
549;DARBOE Ebrima;ROMA;C;7
550;DE ROON Marten;ATALANTA;C;46
551;DEGLI INNOCENTI Duccio;EMPOLI;C;4
552;DEIOLA Alessandro;CAGLIARI;C;16
553;DEL PUPO Isaias;CAGLIARI;C;2
554;DELE-BASHIRU Fisayo;LAZIO;C;28
556;DOUGLAS LUIZ -;JUVENTUS;C;29
557;DOUMBIA Issa;VENEZIA;C;4
558;DUDA Ondrej;VERONA;C;23
559;DUNCAN Alfred;VENEZIA;C;14
560;EDERSON -;ATALANTA;C;52
694;EKKELENKAMP Jurgen;UDINESE;C;26
561;EL AZZOUZI Oussama;BOLOGNA;C;12
562;EL HADDAD Saad;VENEZIA;C;1
563;EL SHAARAWY Stephan;ROMA;C;43
739;ELMAS Eljif;TORINO;C;19
692;ENGELHARDT Yannick;COMO;C;20
564;ESTEVEZ Nahuel;PARMA;C;17
565;FABBIAN Giovanni;BOLOGNA;C;30
566;FAGIOLI Nicolo;FIORENTINA;C;22
567;FATICANTI Giacomo;LECCE;C;3
568;FAZZINI Jacopo;EMPOLI;C;15
686;FELICI Mattia;CAGLIARI;C;18
569;FERGUSON Lewis;BOLOGNA;C;40
570;FIORDILINO Luca;VENEZIA;C;5
701;FOFANA Youssouf;MILAN;C;35
571;FOLORUNSHO Michael;FIORENTINA;C;24
702;FORTINI Niccolo;FIORENTINA;C;1
572;FRATTESI Davide;INTER;C;54
573;FRENDRUP Morten;GENOA;C;33
574;FREULER Remo;BOLOGNA;C;34
575;GAETANO Gianluca;CAGLIARI;C;21
576;GAGLIARDINI Roberto;MONZA;C;16
